data;geracao
2018-12-26;19.027259
2018-12-27;19.422334
2018-12-28;25.190274
2018-12-29;25.82193
2018-12-30;26.1119
2018-12-31;26.374412
2019-01-01;20.472262
2019-01-02;20.340721
2019-01-03;20.509875
2019-01-04;20.188164
2019-01-05;25.425368
2019-01-06;25.853889
2019-01-07;28.891043
2019-01-08;26.178637
2019-01-09;26.541999
2019-01-10;25.385797
2019-01-11;27.159139
2019-01-12;19.475141
2019-01-13;19.019723
2019-01-14;18.945952
2019-01-15;19.761093
2019-01-16;19.969277
2019-01-17;20.164578
2019-01-18;19.878526
2019-01-19;19.604495
2019-01-20;18.63718
2019-01-21;20.553271
2019-01-22;19.301255
2019-01-23;19.456175
2019-01-24;19.179602
2019-01-25;19.414618
2019-01-26;19.649466
2019-01-27;18.684393
2019-01-28;19.94651
2019-01-29;20.622481
2019-01-30;19.6765
2019-01-31;19.482467
2019-02-01;19.708209
2019-02-02;19.561033
2019-02-03;19.494101
2019-02-04;20.968032
2019-02-05;23.202187
2019-02-06;19.996187
2019-02-07;18.917204
2019-02-08;20.010663
2019-02-09;19.648617
2019-02-10;19.474006
2019-02-11;19.612974
2019-02-12;18.310423
2019-02-13;19.514423
2019-02-14;19.143261
2019-02-15;20.150782
2019-02-16;19.928861
2019-02-17;19.9025
2019-02-18;20.130133
2019-02-19;19.30279
2019-02-20;19.869287
2019-02-21;20.293867
2019-02-22;19.857044
2019-02-23;19.473362
2019-02-24;20.011199
2019-02-25;20.067627
2019-02-26;20.064582
2019-02-27;20.230484
2019-02-28;20.226657
2019-03-01;19.953208
2019-03-02;19.647234
2019-03-03;19.984173
2019-03-04;20.022354
2019-03-05;20.042468
2019-03-06;19.983128
2019-03-07;20.211118
2019-03-08;20.252092
2019-03-09;19.415632
2019-03-10;19.688338
2019-03-11;19.755343
2019-03-12;19.69277
2019-03-13;20.004815
2019-03-14;20.402046
2019-03-15;20.220641
2019-03-16;19.63398
2019-03-17;19.927306
2019-03-18;20.600568
2019-03-19;19.104647
2019-03-20;20.705547
2019-03-21;20.429754
2019-03-22;19.972008
2019-03-23;20.093235
2019-03-24;19.669461
2019-03-25;19.657786
2019-03-26;20.319161
2019-03-27;20.542486
2019-03-28;20.867347
2019-03-29;20.357514
2019-03-30;19.982937
2019-03-31;20.001069
2019-04-01;20.199844
2019-04-02;20.347311
2019-04-03;19.104219
2019-04-04;20.231865
2019-04-05;20.507361
2019-04-06;20.813639
2019-04-07;20.269869
2019-04-08;20.20242
2019-04-09;21.955244
2019-04-10;20.266535
2019-04-11;20.492154
2019-04-12;20.367593
2019-04-13;20.180531
2019-04-14;20.864748
2019-04-15;20.112385
2019-04-16;20.081213
2019-04-17;20.13478
2019-04-18;20.460807
2019-04-19;19.938873
2019-04-20;17.905317
2019-04-21;19.781721
2019-04-22;20.007795
2019-04-23;19.931881
2019-04-24;20.240751
2019-04-25;20.539625
2019-04-26;20.106815
2019-04-27;18.132285
2019-04-28;18.462119
2019-04-29;19.077779
2019-04-30;19.999071
2019-05-01;20.185373
2019-05-02;20.369013
2019-05-03;20.469339
2019-05-04;19.512998
2019-05-05;19.782228
2019-05-06;20.421205
2019-05-07;21.102816
2019-05-08;20.584814
2019-05-09;20.912801
2019-05-10;20.527875
2019-05-11;19.323935
2019-05-12;19.812888
2019-05-13;20.452955
2019-05-14;20.650861
2019-05-15;20.02449
2019-05-16;20.348257
2019-05-17;20.147794
2019-05-18;19.699048
2019-05-19;18.581808
2019-05-20;19.467427
2019-05-21;19.86175
2019-05-22;19.752886
2019-05-23;19.688003
2019-05-24;19.558907
2019-05-25;19.262407
2019-05-26;19.264142
2019-05-27;21.768643
2019-05-28;20.014
2019-05-29;20.18917
2019-05-30;19.718861
2019-05-31;19.400419
2019-06-01;19.345511
2019-06-02;19.292669
2019-06-03;20.06834
2019-06-04;20.579418
2019-06-05;19.573544
2019-06-06;19.831005
2019-06-07;20.354155
2019-06-08;20.101837
2019-06-09;18.371495
2019-06-10;20.211063
2019-06-11;20.422515
2019-06-12;19.9361
2019-06-13;20.274312
2019-06-14;21.745527
2019-06-15;20.806016
2019-06-16;19.685235
2019-06-17;21.424464
2019-06-18;21.486822
2019-06-19;22.232968
2019-06-20;20.642232
2019-06-21;20.514958
2019-06-22;21.423021
2019-06-23;18.356469
2019-06-24;25.263693
2019-06-25;25.028653
2019-06-26;25.467245
2019-06-27;24.780598
2019-06-28;24.303976
2019-06-29;24.530587
2019-06-30;17.092174
2019-07-01;21.146089
2019-07-02;25.685446
2019-07-03;27.617626
2019-07-04;27.774042
2019-07-05;27.417811
2019-07-06;21.3371
2019-07-07;21.234889
2019-07-08;23.26764
2019-07-09;25.072692
2019-07-10;20.969665
2019-07-11;22.16353
2019-07-12;24.999098
2019-07-13;19.695824
2019-07-14;19.863353
2019-07-15;25.719748
2019-07-16;27.313668
2019-07-17;26.888408
2019-07-18;23.408282
2019-07-19;23.109781
2019-07-20;21.261432
2019-07-21;22.875462
2019-07-22;20.976071
2019-07-23;18.764586
2019-07-24;23.995854
2019-07-25;24.930833
2019-07-26;22.241488
2019-07-27;22.286422
2019-07-28;23.443281
2019-07-29;25.437209
2019-07-30;27.28878
2019-07-31;23.635689
2019-08-01;23.001705
2019-08-02;25.474764
2019-08-03;24.664564
2019-08-04;24.106009
2019-08-05;26.723755
2019-08-06;27.690931
2019-08-07;27.617938
2019-08-08;27.46239
2019-08-09;25.98266
2019-08-10;26.910017
2019-08-11;24.614836
2019-08-12;27.186959
2019-08-13;23.876765
2019-08-14;27.757909
2019-08-15;23.157382
2019-08-16;26.168356
2019-08-17;26.957899
2019-08-18;16.995476
2019-08-19;20.713829
2019-08-20;26.927468
2019-08-21;26.925489
2019-08-22;26.802099
2019-08-23;27.036785
2019-08-24;24.82907
2019-08-25;20.325966
2019-08-26;25.884711
2019-08-27;26.0687
2019-08-28;26.066085
2019-08-29;25.439035
2019-08-30;26.165893
2019-08-31;25.168506
2019-09-01;25.306342
2019-09-02;25.98419
2019-09-03;27.14934
2019-09-04;27.360609
2019-09-05;27.144745
2019-09-06;26.924414
2019-09-07;25.342132
2019-09-08;25.503502
2019-09-09;25.819545
2019-09-10;24.291162
2019-09-11;28.792003
2019-09-12;29.528033
2019-09-13;22.695624
2019-09-14;23.60881
2019-09-15;23.072421
2019-09-16;28.534155
2019-09-17;30.137351
2019-09-18;29.79473
2019-09-19;29.821611
2019-09-20;21.310192
2019-09-21;20.435174
2019-09-22;22.987933
2019-09-23;22.904539
2019-09-24;22.492375
2019-09-25;23.001371
2019-09-26;29.977328
2019-09-27;29.872029
2019-09-28;28.986412
2019-09-29;20.502284
2019-09-30;26.246761
2019-10-01;25.808639
2019-10-02;26.984895
2019-10-03;29.102069
2019-10-04;29.636844
2019-10-05;24.272993
2019-10-06;24.768932
2019-10-07;28.102433
2019-10-08;29.453642
2019-10-09;30.136059
2019-10-10;28.434764
2019-10-11;30.075484
2019-10-12;25.379554
2019-10-13;29.487852
2019-10-14;30.091485
2019-10-15;30.054574
2019-10-16;29.389795
2019-10-17;24.520218
2019-10-18;30.108237
2019-10-19;22.72321
2019-10-20;22.910579
2019-10-21;22.962568
2019-10-22;22.770673
2019-10-23;21.072907
2019-10-24;25.039837
2019-10-25;29.89225
2019-10-26;29.811513
2019-10-27;28.648024
2019-10-28;29.385751
2019-10-29;29.182959
2019-10-30;28.917758
2019-10-31;28.790738
2019-11-01;29.336976
2019-11-02;29.447331
2019-11-03;28.082475
