;ds;pred;actual
1198;2021-04-13;23.520838787944733;21.890969
1199;2021-04-14;23.53638959386966;20.609232
1200;2021-04-15;23.58656320202746;21.364868
1201;2021-04-16;23.745184540377515;20.581133
1202;2021-04-17;22.9792078613795;20.145404
1203;2021-04-18;22.032616001801635;17.46739
1204;2021-04-19;23.068510761771883;21.261752
1205;2021-04-20;23.137844312757544;22.617271
1206;2021-04-21;23.169330465133477;21.192697
1207;2021-04-22;23.275709514538573;20.567382
1208;2021-04-23;23.48627436822451;20.506039
1209;2021-04-24;22.781148929771295;18.820461
1210;2021-04-25;21.902843388114647;18.355305
1211;2021-04-26;23.01285028707312;21.82629
1212;2021-04-27;23.160409624971923;22.944148
1213;2021-04-28;23.286930029105594;23.961859
1214;2021-04-29;23.45991799526504;20.559234
1215;2021-04-30;23.75028532686199;24.23467
1216;2021-05-01;23.110842877602302;19.950997
1217;2021-05-02;22.315648405759095;21.007086
1218;2021-05-03;23.491392706244344;23.364333
1219;2021-05-04;23.696965844799053;22.913229
1220;2021-05-05;23.87252233653541;23.85542
1221;2021-05-06;24.08451261934656;24.881838
1222;2021-05-07;24.403011844184153;25.1714
1223;2021-05-08;23.79130757548482;20.263204
1224;2021-05-09;22.98987524872698;19.182708
1225;2021-05-10;24.15854121218963;21.323935
1226;2021-05-11;24.345281854207126;21.295823
1227;2021-05-12;24.490670769370645;20.215235
1228;2021-05-13;24.661825446100355;21.009405
1229;2021-05-14;24.929723259889272;21.480271
1230;2021-05-15;24.258771638134508;19.805673
1231;2021-05-16;23.3907615528797;18.088276
1232;2021-05-17;24.487004561974402;20.008076
1233;2021-05-18;24.597102371506086;21.711468
