;ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;All Souls' Day;All Souls' Day_lower;All Souls' Day_upper;Christmas;Christmas_lower;Christmas_upper;Independence Day;Independence Day_lower;Independence Day_upper;New Year's Day;New Year's Day_lower;New Year's Day_upper;Our Lady of the Apparition;Our Lady of the Apparition_lower;Our Lady of the Apparition_upper;Republic Proclamation Day;Republic Proclamation Day_lower;Republic Proclamation Day_upper;Tiradentes;Tiradentes_lower;Tiradentes_upper;Worker's Day;Worker's Day_lower;Worker's Day_upper;additive_terms;additive_terms_lower;additive_terms_upper;daily;daily_lower;daily_upper;holidays;holidays_lower;holidays_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
908;2020-06-27;23.28530932928864;20.42713134695448;28.442212393962233;23.28530932928864;23.28530932928864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2398423613598528;1.2398423613598528;1.2398423613598528;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;-0.16689860504387471;-0.16689860504387471;-0.16689860504387471;0.31893640707029086;0.31893640707029086;0.31893640707029086;0.0;0.0;0.0;24.525151690648492
909;2020-06-28;23.290700314054707;19.789903300146392;27.87023390111305;23.290700314054707;23.290700314054707;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38104506464946036;0.38104506464946036;0.38104506464946036;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;-1.0597895249561828;-1.0597895249561828;-1.0597895249561828;0.3530300302722068;0.3530300302722068;0.3530300302722068;0.0;0.0;0.0;23.671745378704166
910;2020-06-29;23.29609129882077;20.73352016022912;28.760301659132708;23.29609129882077;23.29609129882077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4780130551502073;1.4780130551502073;1.4780130551502073;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.023516983950713288;0.023516983950713288;0.023516983950713288;0.36669151186605736;0.36669151186605736;0.36669151186605736;0.0;0.0;0.0;24.774104353970976
911;2020-06-30;23.301482283586832;20.886406681941406;28.84673833110933;23.301482283586832;23.301482283586832;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5802283178534282;1.5802283178534282;1.5802283178534282;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.13245655667496845;0.13245655667496845;0.13245655667496845;0.359967201845023;0.359967201845023;0.359967201845023;0.0;0.0;0.0;24.88171060144026
912;2020-07-01;23.3068732683529;20.642541270840724;28.769015905486704;23.3068732683529;23.3068732683529;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6300208729249535;1.6300208729249535;1.6300208729249535;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.20889560601763893;0.20889560601763893;0.20889560601763893;0.3333207075738779;0.3333207075738779;0.3333207075738779;0.0;0.0;0.0;24.93689414127785
913;2020-07-02;23.31226425311896;21.086443797903883;28.72778597261751;23.31226425311896;23.31226425311896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6964860429690458;1.6964860429690458;1.6964860429690458;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.32104886942454863;0.32104886942454863;0.32104886942454863;0.28763261421106073;0.28763261421106073;0.28763261421106073;0.0;0.0;0.0;25.008750296088007
914;2020-07-03;23.317655237885024;21.071561644093343;29.250039451461696;23.317655237885024;23.317655237885024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8527664560671055;1.8527664560671055;1.8527664560671055;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.5407701139344323;0.5407701139344323;0.5407701139344323;0.22419178279923627;0.22419178279923627;0.22419178279923627;0.0;0.0;0.0;25.17042169395213
915;2020-07-04;23.32304622265109;20.258021156088496;28.61663223586673;23.32304622265109;23.32304622265109;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0655841983123926;1.0655841983123926;1.0655841983123926;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;-0.16689860504443582;-0.16689860504443582;-0.16689860504443582;0.14467824402339186;0.14467824402339186;0.14467824402339186;0.0;0.0;0.0;24.388630420963484
916;2020-07-05;23.328437207417153;19.52793868321528;27.675633008684688;23.328437207417153;23.328437207417153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07915291283475784;0.07915291283475784;0.07915291283475784;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;-1.0597895249555997;-1.0597895249555997;-1.0597895249555997;0.051137878456920687;0.051137878456920687;0.051137878456920687;0.0;0.0;0.0;23.40759012025191
917;2020-07-06;23.333828192183216;20.394281940947316;28.63834635760573;23.333828192183216;23.333828192183216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0572707894703781;1.0572707894703781;1.0572707894703781;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.023516983947692943;0.023516983947692943;0.023516983947692943;-0.05405075381075162;-0.05405075381075162;-0.05405075381075162;0.0;0.0;0.0;24.391098981653595
