;y_pred;lower;upper;geracao
2021-09-27;25.7234;25.4281;25.8386;25.566881
2021-09-28;25.8823;25.6669;25.9617;25.621539
2021-09-29;25.9898;26.0006;26.2975;25.59359
2021-09-30;26.1046;26.0233;26.3384;22.466073
2021-10-01;26.2827;26.151;26.5211;26.148707
2021-10-02;25.638;25.6184;25.9199;21.93869
2021-10-03;24.8098;24.5458;24.9269;20.200572
2021-10-04;25.6853;25.5665;25.9016;21.819966
2021-10-05;25.6873;25.6122;25.8938;23.14812
2021-10-06;25.6439;25.3616;25.712;26.030742
2021-10-07;25.616;25.4067;25.7503;23.609967
2021-10-08;25.662;25.5883;25.9076;26.374461
2021-10-09;24.8977;24.875;25.209;28.575979
2021-10-10;23.9643;23.8391;24.1557;27.097972
2021-10-11;24.7504;24.7405;25.1241;28.143214
2021-10-12;24.68;24.491;24.799;28.438315
2021-10-13;24.5819;24.5403;24.873;29.000375
2021-10-14;24.5179;24.4831;24.7928;29.044525
2021-10-15;24.5463;24.3073;24.6508;28.661109
2021-10-16;23.7829;23.705;24.0006;28.363216
2021-10-17;22.8684;22.6774;23.0672;27.121159
2021-10-18;23.6908;23.4056;23.7796;29.58932
2021-10-19;23.673;23.3918;23.7254;29.300834
2021-10-20;23.6425;23.4182;23.7393;29.229894
2021-10-21;23.6596;23.5292;23.8403;29.349305
2021-10-22;23.781;23.7069;24.0084;29.483013
2021-10-23;23.1204;23.019;23.3049;28.61415
2021-10-24;22.3167;22.3026;22.6844;27.061795
2021-10-25;23.2556;23.1771;23.503;28.33639
2021-10-26;23.3578;23.1815;23.6013;28.312254
2021-10-27;23.4488;23.1703;23.5102;28.106268
2021-10-28;23.5864;23.3768;23.6989;26.488652
2021-10-29;23.8253;23.6928;24.0413;27.76935
2021-10-30;23.2772;23.2401;23.5516;26.335388
2021-10-31;22.5788;22.4628;22.8142;26.661702
2021-11-01;23.6142;23.5961;23.9814;28.354347
2021-11-02;23.8024;23.4481;23.8024;28.231204
2021-11-03;23.9673;23.8283;24.2439;29.246233
2021-11-04;24.1657;24.2169;24.5012;30.397736
2021-11-05;24.4511;24.2154;24.6324;29.650116
2021-11-06;23.9346;23.8178;24.2278;30.624156
2021-11-07;23.2524;23.056;23.3672;26.922115
2021-11-08;24.2883;24.2858;24.5351;30.103053
2021-11-09;24.4613;24.5101;24.828;29.29461
2021-11-10;24.5958;24.3885;24.7138;29.225342
2021-11-11;24.7488;24.5862;24.9739;30.36506
2021-11-12;24.9748;24.9445;25.2776;30.044247
2021-11-13;24.3859;24.3282;24.6632;30.358853
2021-11-14;23.6194;23.3501;23.7295;28.251287
2021-11-15;24.5605;24.4948;24.8457;29.685297
2021-11-16;24.6299;24.4154;24.8529;30.078636
2021-11-17;24.6535;24.3129;24.6974;30.299484
2021-11-18;24.6904;24.4844;24.9016;30.141613
2021-11-19;24.7967;24.8566;25.1583;29.562873
2021-11-20;24.0865;24.0016;24.3379;29.913904
2021-11-21;23.1992;22.9528;23.2361;27.741706
2021-11-22;24.0218;23.9414;24.2425;29.681267
2021-11-23;23.977;23.801;24.1597;28.970383
2021-11-24;23.8925;23.687;24.025;24.472482
2021-11-25;23.8291;23.8553;24.1752;29.507726
2021-11-26;23.8447;23.5919;23.9264;29.944548
2021-11-27;23.0546;22.9773;23.3114;28.235968
2021-11-28;22.0996;22.0437;22.4088;28.315372
2021-11-29;22.868;22.5445;22.8791;28.550106
2021-11-30;22.783;22.6923;23.0091;27.908241
2021-12-01;22.6732;22.5579;22.8876;27.909864
2021-12-02;22.5997;22.141;22.4906;28.394132
2021-12-03;22.6207;22.1664;22.5429;28.297838
2021-12-04;21.8513;21.7096;22.0813;28.477318
2021-12-05;20.932;20.7451;21.0757;22.301147
2021-12-06;21.7504;21.6247;22.0799;28.272522
2021-12-07;21.7292;21.5884;22.0386;28.372406
2021-12-08;21.6956;21.3888;21.8068;28.284889
2021-12-09;21.7097;21.5339;21.8791;27.926775
2021-12-10;21.828;21.6266;22.0117;27.979277
2021-12-11;21.1644;21.1003;21.4321;28.394692
2021-12-12;20.3573;20.3088;20.5821;20.203957
2021-12-13;21.2926;21.0718;21.4;19.638863
2021-12-14;21.391;21.2868;21.6622;23.239156
2021-12-15;21.4779;21.3793;21.7633;26.533446
2021-12-16;21.6111;21.435;21.8131;26.749136
2021-12-17;21.8454;21.6899;22.0498;27.69893
2021-12-18;21.2925;21.0547;21.3992;23.67301
2021-12-19;20.5892;20.4582;20.8161;18.584675
2021-12-20;21.6195;21.4322;21.7302;22.364811
2021-12-21;21.8026;21.6957;22.1242;21.673444
2021-12-22;21.9624;21.7811;22.1372;23.548065
2021-12-23;22.1557;21.8631;22.2692;24.359339
2021-12-24;22.4361;21.9994;22.3186;21.541523
2021-12-25;21.9147;21.7655;22.0728;19.860444
2021-12-26;21.2277;20.9802;21.3914;17.592541
2021-12-27;22.2591;22.1027;22.4447;21.742712
2021-12-28;22.4278;22.2847;22.5495;17.41888
2021-12-29;22.5583;22.258;22.5985;16.949582
2021-12-30;22.7079;22.5888;22.9932;17.836814
2021-12-31;22.931;23.0669;23.3364;19.155768
