;ds;y
580;2019-08-04;24.106009
581;2019-08-05;26.723755
582;2019-08-06;27.690931
583;2019-08-07;27.617938
584;2019-08-08;27.46239
585;2019-08-09;25.98266
586;2019-08-10;26.910017
587;2019-08-11;24.614836
588;2019-08-12;27.186959
589;2019-08-13;23.876765
590;2019-08-14;27.757909
591;2019-08-15;23.157382
592;2019-08-16;26.168356
593;2019-08-17;26.957899
594;2019-08-18;16.995476
595;2019-08-19;20.713829
596;2019-08-20;26.927468
597;2019-08-21;26.925489
598;2019-08-22;26.802099
599;2019-08-23;27.036785
600;2019-08-24;24.82907
601;2019-08-25;20.325966
602;2019-08-26;25.884711
603;2019-08-27;26.0687
604;2019-08-28;26.066085
605;2019-08-29;25.439035
606;2019-08-30;26.165893
607;2019-08-31;25.168506
608;2019-09-01;25.306342
609;2019-09-02;25.98419
610;2019-09-03;27.14934
611;2019-09-04;27.360609
612;2019-09-05;27.144745
613;2019-09-06;26.924414
614;2019-09-07;25.342132
615;2019-09-08;25.503502
616;2019-09-09;25.819545
617;2019-09-10;24.291162
618;2019-09-11;28.792003
619;2019-09-12;29.528033
620;2019-09-13;22.695624
621;2019-09-14;23.60881
622;2019-09-15;23.072421
623;2019-09-16;28.534155
624;2019-09-17;30.137351
625;2019-09-18;29.79473
626;2019-09-19;29.821611
627;2019-09-20;21.310192
628;2019-09-21;20.435174
629;2019-09-22;22.987933
630;2019-09-23;22.904539
631;2019-09-24;22.492375
632;2019-09-25;23.001371
633;2019-09-26;29.977328
634;2019-09-27;29.872029
635;2019-09-28;28.986412
636;2019-09-29;20.502284
637;2019-09-30;26.246761
638;2019-10-01;25.808639
639;2019-10-02;26.984895
640;2019-10-03;29.102069
641;2019-10-04;29.636844
642;2019-10-05;24.272993
643;2019-10-06;24.768932
644;2019-10-07;28.102433
645;2019-10-08;29.453642
646;2019-10-09;30.136059
647;2019-10-10;28.434764
648;2019-10-11;30.075484
649;2019-10-12;25.379554
650;2019-10-13;29.487852
651;2019-10-14;30.091485
652;2019-10-15;30.054574
653;2019-10-16;29.389795
654;2019-10-17;24.520218
655;2019-10-18;30.108237
656;2019-10-19;22.72321
657;2019-10-20;22.910579
658;2019-10-21;22.962568
659;2019-10-22;22.770673
660;2019-10-23;21.072907
661;2019-10-24;25.039837
662;2019-10-25;29.89225
663;2019-10-26;29.811513
664;2019-10-27;28.648024
665;2019-10-28;29.385751
666;2019-10-29;29.182959
667;2019-10-30;28.917758
