;ds;y;pred
126;2021-05-07;25.1714;24.319610595703125
127;2021-05-08;20.263204;23.47560691833496
128;2021-05-09;19.182708;19.677051544189453
129;2021-05-10;21.323935;21.170692443847656
130;2021-05-11;21.295823;21.677993774414062
131;2021-05-12;20.215235;21.580453872680664
132;2021-05-13;21.009405;21.005098342895508
133;2021-05-14;21.480271;21.650955200195312
134;2021-05-15;19.805673;20.6480655670166
135;2021-05-16;18.088276;19.106327056884766
136;2021-05-17;20.008076;19.793201446533203
137;2021-05-18;21.711468;20.446447372436523
138;2021-05-19;21.528842;21.53609848022461
139;2021-05-20;25.085692;21.459306716918945
140;2021-05-21;25.124596;24.453731536865234
141;2021-05-22;24.794134;23.167224884033203
142;2021-05-23;20.487876;22.931360244750977
143;2021-05-24;24.532939;21.55219841003418
144;2021-05-25;24.583325;24.40268898010254
145;2021-05-26;24.725825;23.963218688964844
146;2021-05-27;24.752843;24.654626846313477
147;2021-05-28;25.027724;24.779457092285156
148;2021-05-29;25.150822;24.028675079345703
149;2021-05-30;23.331644;23.6743106842041
150;2021-05-31;24.36052;24.220348358154297
151;2021-06-01;22.408397;24.41122055053711
